Ștergere toți clienții, 2024-05-27 10:00:35
Ștergere toți medicii, 2024-05-27 10:00:35
Ștergere toate programările, 2024-05-27 10:00:35
Adăugare client, 2024-05-27 10:00:35
Adăugare client, 2024-05-27 10:00:35
Afișare clienți, 2024-05-27 10:00:35
Actualizare client, 2024-05-27 10:00:35
Afișare clienți, 2024-05-27 10:00:35
Ștergere client, 2024-05-27 10:00:35
Afișare clienți, 2024-05-27 10:00:35
Adăugare medic, 2024-05-27 10:00:35
Adăugare medic, 2024-05-27 10:00:35
Afișare medici, 2024-05-27 10:00:35
Actualizare medic, 2024-05-27 10:00:35
Afișare medici, 2024-05-27 10:00:35
Ștergere medic, 2024-05-27 10:00:35
Afișare medici, 2024-05-27 10:00:35
Adăugare programare, 2024-05-27 10:00:35
Afișare programări, 2024-05-27 10:00:35
Actualizare programare, 2024-05-27 10:00:35
Afișare programări, 2024-05-27 10:00:36
Ștergere programare, 2024-05-27 10:00:36
Afișare programări, 2024-05-27 10:00:36
Ștergere toți clienții, 2024-05-28 06:47:39
Ștergere toți medicii, 2024-05-28 06:47:39
Ștergere toate programările, 2024-05-28 06:47:39
Adăugare client, 2024-05-28 06:47:39
Adăugare client, 2024-05-28 06:47:39
Afișare clienți, 2024-05-28 06:47:39
Actualizare client, 2024-05-28 06:47:39
Afișare clienți, 2024-05-28 06:47:39
Ștergere client, 2024-05-28 06:47:39
Afișare clienți, 2024-05-28 06:47:39
Adăugare medic, 2024-05-28 06:47:39
Adăugare medic, 2024-05-28 06:47:39
Afișare medici, 2024-05-28 06:47:39
Actualizare medic, 2024-05-28 06:47:39
Afișare medici, 2024-05-28 06:47:39
Ștergere medic, 2024-05-28 06:47:39
Afișare medici, 2024-05-28 06:47:40
Adăugare programare, 2024-05-28 06:47:40
Afișare programări, 2024-05-28 06:47:40
Actualizare programare, 2024-05-28 06:47:40
Afișare programări, 2024-05-28 06:47:40
Ștergere programare, 2024-05-28 06:47:40
Afișare programări, 2024-05-28 06:47:40
Afișare clienți, 2024-05-28 08:15:12
Adăugare client, 2024-05-28 08:15:41
Afișare clienți, 2024-05-28 08:15:49
Afișare clienți, 2024-05-28 08:18:53
Afișare clienți, 2024-05-28 08:21:30
Ștergere toți clienții, 2024-05-28 08:21:33
Ștergere toți medicii, 2024-05-28 08:21:33
Ștergere toate programările, 2024-05-28 08:21:33
Afișare clienți, 2024-05-28 08:21:35
